Имя товара;Цена;Ссылка
Сырок творожный Ростагроэкспорт ваниль глазированный 5% СЗМЖ 45 г;39.99;https://kuper.ru/products/33614-syrok-tvorozhnyy-rostagroeksport-vanil-glazirovannyy-5-szmzh-45-g-44551d0
Йогурт Натураленъ лесная ягода 2,5% 160 г;79.99;https://kuper.ru/products/33152537-yogurt-naturalen-lesnaya-yagoda-2-5-160-g
Кисломолочный напиток Actimuno Kids персик-малина 1,5% БЗМЖ 95 мл;35;https://kuper.ru/products/45939182-kislomolochnyy-napitok-actimuno-kids-persik-malina-1-5-bzmzh-95-ml
Творожный продукт Даниссимо черничный пломбир 5,6% БЗМЖ 130 г;68.99;https://kuper.ru/products/46090098-tvorozhnyy-produkt-danissimo-chernichnyy-plombir-5-6-bzmzh-130-g
Йогурт питьевой Актибио без сахара с манго и папайей без сахара 1,5% БЗМЖ 260 мл;69.99;https://kuper.ru/products/46090094-yogurt-pitievoy-aktibio-bez-sahara-s-mango-i-papayey-bez-sahara-1-5-bzmzh-260-ml
Творожный продукт Exponenta вишня 0% 250 г;139;https://kuper.ru/products/44800499-tvorozhnyy-produkt-exponenta-vishnya-0-250-g
Творожный продукт Exponenta топлёное молоко 0% 250 г;134;https://kuper.ru/products/44800500-tvorozhnyy-produkt-exponenta-toplyonoe-moloko-0-250-g
Сливочное масло ЭкоНива Крестьянское 72,5% 180 г;189.99;https://kuper.ru/products/15167057-slivochnoe-maslo-ekoniva-krest-yanskoe-72-5-180-g
Творог детский Агуша фруктовый с клубникой с 6 месяцев 3,9% 100 г;38.99;https://kuper.ru/products/34917856-tvorog-detskiy-agusha-fruktovyy-s-klubnikoy-s-6-mesyatsev-3-9-100-g-e1bb7e0
Сыр полутвердый Радость вкуса Легкий 35% БЗМЖ 180 г;201;https://kuper.ru/products/32269613-syr-polutverdyy-radost-vkusa-legkiy-35-bzmzh-180-g-b34423d
Коктейль молочный «ТОП» со вкусом молочного шоколада 2% БЗМЖ Беларусь охлажденный 450 г;79.99;https://kuper.ru/products/47665200-kokteyl-molochnyy-top-so-vkusom-molochnogo-shokolada-2-bzmzh-belarus-ohlazhdennyy-450-g
